İstanbul;(42. Yarış Günü);17/07/2022
1. Kosu :   15:15;ŞARTLI 4/DHÖW/Y2; 4 Yaşlı Araplar; 58.00kg; 1900m; Çim;;;;Rekor Derece :2.04.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.000 TL;2.)30.400 TL;3.)15.200 TL;4.)7.600 TL;5.)3.800 TL;1.)13.110 TL;2.)5.244 TL;3.)2.622 TL;4.)1.311 TL;5.)656 TL;
1.)105.000 TL;2.)42.000 TL;3.)21.000 TL;4.)10.500 TL;5.)5.250 TL;1.)24.150 TL;2.)9.660 TL;3.)4.830 TL;4.)2.415 TL;5.)1.208 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KAMUS KG;6y d  a;GOBAKBEY;KAMURAN;56;G.KOCAKAYA;DENİZ KURTEL;H.YÜZBAŞI;2;%28.08(1);95;2:35.03;2,10;3,5 Boy
2;ZEKİ DAYI KG DB GKR;7y a  a;UÇANBEY;SHOOWGIRL;57;A.SÖZEN;CEMİL CAN;A.KARAKUŞ;4 - DS;%12.47(5);93;2:35.70;5,60;Yarım Boy
3;BERKALP KG GKR;9y k  a;BEN ANADOLU;BETÜLÜM;56 +0.40;T.YILDIZ;ALİ ERKAN YILMAZ;H.V.YILMAZ;3;%8.73(6);99;2:35.76;13,15;Boyun
4;YÜKSELABİ;5y a  a;BİLGİN;AKILDEFTERİ;63;A.ÇELİK;T. İZZET AKSOY;A.TEPEBAŞI;6 - DS;%15.59(3);92;2:35.81;3,95;Yarım Boy
5;YENERSULTAN KG SK;5y a k;KAIZBERT (RU);SÖNMEZ SULTAN;61;VEDAT ABİŞ;SONGÜL TEKİNALP;K.TEKİNALP;1;%22.08(2);101;2:35.93;3,35;
6;AFACAN KG K;7y k  a;YAŞARCIK;SENACAN;56;Ö.YILDIRIM;N.AREK KUYUMCİYAN;S.KERESTECİ;5 - DS;%13.04(4);93;2:37.55;6,25;
GANYAN(6) :2,10 TL, SIRALI İKİLİ(6/3) :12,75 TL, 2. ÇİFTE(4/6) :9,75 TL

4. Kosu :   17:00;ŞARTLI 1/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Sentetik;;;;Rekor Derece :1.17.90
İkramiye;;;;;Yetiştirici Primi;;;;
1.)100.000 TL;2.)40.000 TL;3.)20.000 TL;4.)10.000 TL;5.)5.000 TL;1.)28.750 TL;2.)11.500 TL;3.)5.750 TL;4.)2.875 TL;5.)1.438 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KAPGEL KG DB SK;3y a  d;KAIZBERT (RU);TENDÜ;57;M.N.SUNKAR AP;MAHİR TEKİNALP;K.TEKİNALP;5;%15.78(3)  %17.74(2);;1:24.32;3,10;2,5 Boy
2;BOZKIR KARTALI SK;3y d  d;UÇANOĞLU;AKSİ BABY;57;O.ÖZTÜRK;MURAT KARABULUT;N.YILDIRIM;1;%4.05(9)  %4.11(9);;1:24.73;25,50;Boyun
3;İLKATEŞ KG K DB;3y a  d;ULUER;ASİTAY;57;B.ÇIĞLA AP;HAKKI YAZICI;A.ALÇİÇEK;9;%4.31(8)  %4.7(8);;1:24.78;21,95;3 Boy
4;BAGRAD KG K;3y d  d;KAIZBERT (RU);ATİFEHANIM;57;MÜS.ÇELİK;HAKAN DEMİRKAYA;EN.KARATAŞ;4;%24.26(1)  %24.28(1);;1:25.31;2,55;1,5  Boy
5;MEHİR ABLA KG K;3y k  d;SONALP;ASLIKAN;57;M.ÇİÇEK;MEHMET ÖZESER;EN.TOKÇALAR;8;%8.82(5)  %8.22(5);;1:25.52;12,70;
6;DERBEDER KG K;3y a  d;KOCAREİS;MERYEM HANIM;57;S.BOYRAZ;SEVİM KARACA;D.ERGİN;3;%13.06(4)  %12.28(4);;1:26.41;7,40;
7;GÖLGEKIZ KG SK;3y k  d;YAŞARCIK;HANEDAN;57;T.YILDIZ;M.ÖMER NAUSHAD MA;Y.ARHIM;6;%6.56(6)  %6.74(6);;1:26.48;10,60;
8;AYDOĞARKEN KG SK;3y a  d;UFUKBİR;ZEHRA.121;57;G.ÖZÇELİK;SİNAN EVREN ÇİÇEKÇİ;E.USLU;7;%5.53(7)  %5.77(7);;1:27.94;19,75;
9;ÇALIOBALI DB SK YP;3y a  d;GELİBOLU;ALTIN ATEŞ;57;G.KOCAKAYA;CÜNEYT ÇALICIOĞLU;H.ALTUNBAŞ;2;%17.63(2)  %16.16(3);;1:29.74;3,60;
GANYAN(8) :3,10 TL, İKİLİ(3/8) :57,25 TL, SIRALI İKİLİ(8/3) :56,90 TL, 3. ÇİFTE(6/8) :12,15 TL

5. Kosu :  M.NECDET NARİN KOŞUSU 17:30;KV-7; 3 ve Yukarı İngilizler; 54.00kg; 60.00 kg; 60.50 kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)125.000 TL;2.)50.000 TL;3.)25.000 TL;4.)12.500 TL;5.)6.250 TL;1.)28.750 TL;2.)11.500 TL;3.)5.750 TL;4.)2.875 TL;5.)1.438 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
